Cluster,Length,Onset count,Coda count,Onset proportion,Coda proportion,Onset prob2,Coda prob2
"('L', 'TH')",2,0,5,0,0.0002738825591586328,0,0.0003738430194295211
"('S',)",1,1104,952,0.060473269062226116,0.05214723926380368,0.035265264061049434,0.026484563072530665
"('NG', 'K')",2,0,60,0,0.003286590709903593,0,0.004486116233154254
"('M', 'P', 'S')",3,0,2,0,0.00010955302366345311,0,0.006399182616849106
"('P', 'L')",2,105,0,0.005751533742331288,0,0.00825101003822988,0
"('L', 'K')",2,0,11,0,0.0006025416301489921,0,0.0008224546427449465
"('P', 'TH')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('L', 'S')",2,0,7,0,0.0003834355828220859,0,0.0005233802272013295
"('K', 'T')",2,0,128,0,0.007011393514460999,0,0.00957038129739574
"('P', 'S')",2,0,16,0,0.0008764241893076249,0,0.0011962976621744674
"('L', 'P', 'T')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('K', 'S', 'TH')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('D',)",1,1057,744,0.05789877300613497,0.04075372480280456,0.03376393488453737,0.02069801988021304
"('R', 'B')",2,0,5,0,0.0002738825591586328,0,0.0003738430194295211
"('L', 'F', 'T')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('N', 'CH')",2,0,33,0,0.0018076248904469764,0,0.002467363928234839
"('SH',)",1,148,155,0.00810692375109553,0.008490359333917617,0.004727589747314598,0.004312087475044383
"('S', 'K', 'L')",3,1,0,5.477651183172656e-05,0,0.0011246245714133833,0
"('P',)",1,946,210,0.051818580192813324,0.011503067484662576,0.030218242574051417,0.005842183030705293
"('S', 'K', 'W')",3,25,0,0.001369412795793164,0,0.028115614285334583,0
"('R', 'P', 'S')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('G', 'Y')",2,1,0,5.477651183172656e-05,0,7.858104798314171e-05,0
"('B', 'R')",2,145,0,0.00794259421560035,0,0.011394251957555548,0
"('T', 'R')",2,226,0,0.012379491673970202,0,0.017759316844190024,0
"('K', 'Y')",2,31,0,0.0016980718667835232,0,0.0024360124874773926,0
"('N', 'JH')",2,0,34,0,0.0018624014022787028,0,0.002542132532120743
"('R', 'T')",2,0,56,0,0.003067484662576687,0,0.004187041817610636
"('R', 'L')",2,0,3,0,0.00016432953549517967,0,0.00022430581165771264
"('R', 'TH')",2,0,4,0,0.00021910604732690623,0,0.00029907441554361685
"('R', 'K')",2,0,28,0,0.0015337423312883436,0,0.002093520908805318
"('R', 'S')",2,0,25,0,0.001369412795793164,0,0.0018692150971476055
"('T', 'W')",2,30,0,0.0016432953549517966,0,0.002357431439494251,0
"('M', 'P', 'T')",3,0,5,0,0.0002738825591586328,0,0.015997956542122764
"('L', 'T')",2,0,51,0,0.002793602103418054,0,0.0038131987981811157
"('F', 'L')",2,127,0,0.006956617002629273,0,0.009979793093858998,0
"('F', 'TH')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('ZH',)",1,2,15,0.00010955302366345311,0.0008216476774758983,6.388634793668376e-05,0.000417298787907521
"('P', 'T')",2,0,30,0,0.0016432953549517966,0,0.002243058116577127
"('M',)",1,957,591,0.05242112182296231,0.0323729184925504,0.030569617487703177,0.016441572243556326
"('R', 'D')",2,0,50,0,0.002738825591586328,0,0.003738430194295211
"('L', 'T', 'S')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('K', 'S', 'T')",3,0,5,0,0.0002738825591586328,0,0.015997956542122764
"('R', 'SH')",2,0,3,0,0.00016432953549517967,0,0.00022430581165771264
"('R', 'P')",2,0,5,0,0.0002738825591586328,0,0.0003738430194295211
"('L', 'D')",2,0,42,0,0.0023006134969325155,0,0.003140281363207977
"('N', 'Z')",2,0,8,0,0.00043821209465381246,0,0.0005981488310872337
"('F',)",1,558,120,0.03056529360210342,0.006573181419807186,0.01782429107433477,0.003338390303260168
"('L', 'SH')",2,0,2,0,0.00010955302366345311,0,0.00014953720777180843
"('CH',)",1,134,97,0.007340052585451358,0.005313321647677476,0.004280385311757812,0.0026985321618019694
"('L', 'F')",2,0,10,0,0.0005477651183172656,0,0.0007476860388590422
"('L', 'P')",2,0,6,0,0.00032865907099035934,0,0.0004486116233154253
"('V',)",1,361,387,0.019774320771253285,0.02119851007887818,0.011531485802571418,0.010766308728014042
"('L', 'CH')",2,0,7,0,0.0003834355828220859,0,0.0005233802272013295
"('Y',)",1,154,0,0.00843558282208589,0,0.0049192487911246495,0
"('L', 'V')",2,0,12,0,0.0006573181419807187,0,0.0008972232466308506
"('S', 'N')",2,41,0,0.002245836985100789,0,0.00322182296730881,0
"('S', 'L')",2,80,0,0.0043821209465381246,0,0.006286483838651337,0
"('G', 'R')",2,140,0,0.007668711656441718,0,0.01100134671763984,0
"('G',)",1,263,99,0.014406222611744084,0.005422874671340929,0.008401054753673915,0.0027541720001896387
"('D', 'S', 'T')",3,0,2,0,0.00010955302366345311,0,0.006399182616849106
"('S', 'W')",2,61,0,0.00334136722173532,0,0.004793443926971644,0
"('S', 'K')",2,105,30,0.005751533742331288,0.0016432953549517966,0.00825101003822988,0.002243058116577127
"('P', 'Y')",2,27,0,0.001478965819456617,0,0.002121688295544826,0
"('K', 'R')",2,168,0,0.009202453987730062,0,0.013201616061167808,0
"('N', 'D', 'TH')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('S', 'T', 'R')",3,67,0,0.003670026292725679,0,0.07534984628469668,0
"('R', 'M', 'TH')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('B', 'L')",2,72,0,0.003943908851884312,0,0.0056578354547862034,0
"('M', 'P')",2,0,50,0,0.002738825591586328,0,0.003738430194295211
"('T', 'TH')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('R', 'M')",2,0,24,0,0.0013146362839614374,0,0.0017944464932617011
"('JH',)",1,293,254,0.016049517966695882,0.013913234005258545,0.009359349972724171,0.007066259475234022
"('F', 'T')",2,0,32,0,0.0017528483786152498,0,0.002392595324348935
"('T', 'S')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('NG', 'S', 'T')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('HH', 'Y')",2,27,0,0.001478965819456617,0,0.002121688295544826,0
"('S', 'K', 'Y')",3,1,0,5.477651183172656e-05,0,0.0011246245714133833,0
"('NG', 'K', 'S', 'T')",4,0,1,0,5.477651183172656e-05,0,0.1465219174871075
"('L', 'M')",2,0,8,0,0.00043821209465381246,0,0.0005981488310872337
"('D', 'R')",2,74,0,0.004053461875547765,0,0.005814997550752486,0
"('NG',)",1,0,101,0,0.0055324276950043825,0,0.002809811838577308
"('L', 'K', 'T')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('S', 'P', 'L')",3,12,0,0.0006573181419807187,0,0.0134954948569606,0
"('R', 'F')",2,0,3,0,0.00016432953549517967,0,0.00022430581165771264
"('DH',)",1,17,17,0.0009312007011393514,0.0009312007011393514,0.0005430339574618119,0.0004729386262951905
"('R', 'CH')",2,0,10,0,0.0005477651183172656,0,0.0007476860388590422
"('R', 'T', 'S')",3,0,1,0,5.477651183172656e-05,0,0.003199591308424553
"('R', 'V')",2,0,2,0,0.00010955302366345311,0,0.00014953720777180843
"('R', 'G')",2,0,1,0,5.477651183172656e-05,0,7.476860388590421e-05
"('N', 'T')",2,0,597,0,0.03270157756354075,0,0.04463685651988482
"('Z',)",1,50,356,0.002738825591586328,0.019500438212094653,0.001597158698417094,0.009903891233005165
"('R',)",1,1091,343,0.05976117440841367,0.018788343558282208,0.03485000279946099,0.009542232283485315
"('N', 'TH')",2,0,24,0,0.0013146362839614374,0,0.0017944464932617011
